"","Accession","Hamming","Miyata"
"2","DQ666289","6.62","11.3488888888889"
"3","DQ666290","6.63111111111111","11.3271777777778"
"4","DQ866105","6.63111111111111","11.3630888888889"
"5","DQ866106","6.62222222222222","11.3455333333333"
"6","DQ866108","6.62","11.3323111111111"
"7","DQ866109","6.61777777777778","11.3355555555556"
"8","DQ866110","6.62","11.3270444444444"
"9","DQ866112","6.62444444444444","11.3403777777778"
"10","DQ866116","6.62222222222222","11.3406222222222"
"11","DQ866119","6.62222222222222","11.3356"
"12","EU086182","6.61777777777778","11.3100666666667"
"13","EU086183","6.61333333333333","11.3101111111111"
"14","EU159386","6.61777777777778","11.3100666666667"
"15","EU828653","6.61777777777778","11.3214666666667"
"16","FJ561726","6.62444444444444","11.3373555555556"
"17","FJ561727","6.61333333333333","11.3336"
"18","FJ561728","6.62444444444444","11.3499333333333"
"19","FJ866829","6.62666666666667","11.3523777777778"
"20","FJ866830","6.63333333333333","11.3472222222222"
"21","FJ866831","6.61777777777778","11.3482222222222"
"22","GQ472468","6.62","11.3430222222222"
"23","GQ472470","6.62666666666667","11.3370444444444"
"24","GQ472473","6.62222222222222","11.3377777777778"
"25","GQ472477","6.62444444444444","11.3253777777778"
"26","GU358653","6.61333333333333","11.3189111111111"
"27","HM486355","6.61333333333333","11.2839333333333"
"28","HM486356","6.61333333333333","11.2974666666667"
"29","HM486357","6.61333333333333","11.2839333333333"
"30","HM486358","6.61333333333333","11.2839333333333"
"31","HM486359","6.61333333333333","11.2839333333333"
"32","HM486361","6.61333333333333","11.2839333333333"
"33","HM486362","6.61333333333333","11.2839333333333"
"34","HM486364","6.61333333333333","11.2839333333333"
"35","HM486365","6.61333333333333","11.2839333333333"
"36","HM486366","6.61333333333333","11.2839333333333"
"37","HM486367","6.61333333333333","11.2839333333333"
"38","HM486368","6.62444444444444","11.3322666666667"
"39","HM486369","6.61333333333333","11.2809555555556"
"40","HM486370","6.61333333333333","11.2839333333333"
"41","HM486371","6.61333333333333","11.2839333333333"
"42","HM486372","6.61333333333333","11.2839333333333"
"43","HM486373","6.61333333333333","11.2839333333333"
"44","HM486374","6.61333333333333","11.3033111111111"
"45","HM486375","6.61333333333333","11.3033111111111"
"46","HM486379","6.60888888888889","11.276"
"47","HM486380","6.60888888888889","11.276"
"48","HM486381","6.61555555555556","11.3540222222222"
"49","JF819605","6.59111111111111","11.2829111111111"
"50","JF819615","6.61111111111111","11.2766888888889"
"51","JF819622","6.61333333333333","11.2839333333333"
"52","JN974823","6.62666666666667","11.3515111111111"
"53","JN974824","6.62","11.3289555555556"
"54","JN974828","6.62222222222222","11.3366888888889"
"55","JN974829","6.62222222222222","11.3339555555556"
"56","JN974838","6.62","11.3442444444444"
"57","JN974842","6.62666666666667","11.3586666666667"
"58","JN974845","6.62888888888889","11.3476888888889"
"59","JN974854","6.61333333333333","11.2839333333333"
"60","JN974870","6.62444444444444","11.2871111111111"
"61","JN974871","6.62","11.2968222222222"
"62","JN974872","6.61777777777778","11.2961333333333"
"63","JN974873","6.60666666666667","11.2637777777778"
"64","JQ970480","6.62888888888889","11.3471777777778"
"65","KT221107","6.62222222222222","11.3241777777778"
"66","KT894558","6.61777777777778","11.3233777777778"
"67","KT894572","6.62","11.341"
"68","KT894573","6.62222222222222","11.3462"
"69","KT894577","6.61111111111111","11.3208666666667"
"70","KT894578","6.61111111111111","11.3208666666667"
"71","KX148264","6.61555555555556","11.3144888888889"
"72","KY451767","6.62","11.3613777777778"
"73","MG201879","6.61333333333333","11.3377555555556"
"74","MG201880","6.61333333333333","11.3277333333333"
"75","MG201884","6.62222222222222","11.3366888888889"
"76","MG201919","6.62444444444444","11.3480888888889"
"77","MG201921","6.62444444444444","11.329"
"78","AY352488","6.59555555555556","11.3134222222222"
"79","AY352501","6.6","11.3175333333333"
"80","KX954123","6.59555555555556","11.3122444444444"
"81","LT598537","6.59777777777778","11.3148666666667"
"82","LT598538","6.59777777777778","11.3039777777778"
"83","LT598539","6.59777777777778","11.3054444444444"
"84","LT598540","6.59777777777778","11.3037111111111"
"85","LT598541","6.59777777777778","11.3060888888889"
"86","LT598542","6.59777777777778","11.3037111111111"
"87","LT598543","6.59555555555556","11.2975333333333"
"88","LT909550","6.59555555555556","11.3134222222222"
"89","MN384717","6.59555555555556","11.3301333333333"
"90","FJ598135","6.62","11.3125111111111"
"91","FJ712195","6.61111111111111","11.2986444444444"
"92","FJ712196","6.61555555555556","11.2987555555556"
"93","GU647092","6.62","11.3365333333333"
"94","KF726852","6.61555555555556","11.3129777777778"
"95","KP319184","6.61555555555556","11.3129777777778"
"96","KP319185","6.62222222222222","11.3409777777778"
"97","KP319186","6.62444444444444","11.3567555555556"
"98","KP319187","6.62444444444444","11.3456888888889"
"99","KP319188","6.62444444444444","11.3567555555556"
"100","KP319189","6.62444444444444","11.3456888888889"
"101","KP319190","6.62","11.3365333333333"
"102","KP319191","6.61777777777778","11.3251333333333"
"103","KP319192","6.62","11.3365333333333"
"104","KP319193","6.61555555555556","11.3115333333333"
"105","KP319194","6.61333333333333","11.3262222222222"
"106","KP319195","6.61777777777778","11.3288"
"107","KP319196","6.61333333333333","11.3134222222222"
"108","KP319197","6.61333333333333","11.3134222222222"
"109","KP319198","6.61333333333333","11.3134222222222"
"110","KP319199","6.62222222222222","11.3494444444444"
"111","KP319200","6.61333333333333","11.3134222222222"
"112","KP319201","6.62222222222222","11.3494444444444"
"113","KP319202","6.61333333333333","11.3134222222222"
"114","KP319203","6.61777777777778","11.3173333333333"
"115","KP319204","6.61777777777778","11.3209111111111"
"116","KP319205","6.60222222222222","11.3154222222222"
"117","KP319206","6.62222222222222","11.3408666666667"
"118","KP319207","6.62222222222222","11.3408666666667"
"119","KP319208","6.61333333333333","11.3134222222222"
"120","KP319209","6.61333333333333","11.3134222222222"
"121","KP319210","6.61333333333333","11.3134222222222"
"122","KP319211","6.61333333333333","11.3134222222222"
"123","KP319212","6.61777777777778","11.3209111111111"
"124","KP319213","6.61333333333333","11.3134222222222"
"125","AB519642","6.60666666666667","11.2331111111111"
"126","AF070449","6.61111111111111","11.2585555555556"
"127","AF351847","6.61111111111111","11.2268666666667"
"128","AF351852","6.60888888888889","11.2441555555556"
"129","AY854587","6.61111111111111","11.2438"
"130","AY854592","6.62222222222222","11.2793777777778"
"131","AY854594","6.62222222222222","11.2706444444444"
"132","AY877433","6.60888888888889","11.2134"
"133","AY877434","6.61333333333333","11.2748666666667"
"134","AY877435","6.62","11.2924222222222"
"135","GU592648","6.60888888888889","11.2273555555556"
"136","KF656696","6.62444444444444","11.2826666666667"
"137","KF656697","6.62444444444444","11.2826666666667"
"138","KF864234","6.61333333333333","11.2725333333333"
"139","KF864322","6.61111111111111","11.2596222222222"
"140","KF864397","6.61555555555556","11.2741111111111"
"141","KM594040","6.61333333333333","11.2628222222222"
"142","KM594041","6.61777777777778","11.2442444444444"
"143","KM594042","6.61333333333333","11.2628222222222"
"144","KP202393","6.62222222222222","11.2652222222222"
"145","KT023101","6.62222222222222","11.2610222222222"
