acc	CpGpos1	CpGpos2	CpGbridge
DQ666289	0.3043478260869566	0.1044972095368306	0.1257855651346
DQ666290	0.30434782608695654	0.10183987103027928	0.1271112592863164
DQ866105	0.30434782608695654	0.1028746460352399	0.13542624024873728
DQ866106	0.3043478260869566	0.10526315789473684	0.12317411047799498
DQ866108	0.30434782608695654	0.10571703194622328	0.12582283258958477
DQ866109	0.3043478260869566	0.10571854033829106	0.12567445931406462
DQ866110	0.30434782608695654	0.0951301366177658	0.13947056741275174
DQ866112	0.30434782608695654	0.10572243474014013	0.11739652807584054
DQ866116	0.3043478260869566	0.09512883252746074	0.13584153945000726
DQ866119	0.3043478260869566	0.10571952193803237	0.1332276574483571
EU086182	0.30434782608695654	0.0951347210607677	0.1399505016076644
EU086183	0.3043478260869566	0.0940245731675902	0.1369071153079244
EU828653	0.30434782608695654	0.10257756347318897	0.14303707311887942
FJ561726	0.3043478260869566	0.10139014659460586	0.14242572957691962
FJ561727	0.27272727272727265	0.1092325462631877	0.14312695293644764
FJ561728	0.3043478260869566	0.10257075560091448	0.15707362807172257
FJ866829	0.30434782608695654	0.10922236654441311	0.15654053448535837
FJ866830	0.27272727272727276	0.10795625369382386	0.1564217128367806
FJ866831	0.30434782608695654	0.10138995940535792	0.14360422343606755
GQ472468	0.2916666666666667	0.1057207551129631	0.12491601429650386
GQ472470	0.30434782608695654	0.10108398408477544	0.12720870635324563
GQ472473	0.3043478260869565	0.09835044507701078	0.12697325537935086
GQ472477	0.3181818181818182	0.10571757967009335	0.12703251777212138
GU358653	0.30434782608695654	0.09513678523980419	0.1450104568509511
HM486355	0.30434782608695654	0.13506959623148163	0.12233933083285171
HM486356	0.30434782608695654	0.13604411244490958	0.1222556447068414
HM486368	0.30434782608695654	0.10571948586167657	0.12240030469083679
HM486369	0.3043478260869566	0.13567301457093336	0.1220706391162971
HM486374	0.30434782608695654	0.13505027442223705	0.12232561375701453
HM486379	0.30434782608695654	0.13506696938936238	0.12234809248209277
HM486381	0.2916666666666667	0.10181433177603554	0.1393129193721823
JF819605	0.30434782608695654	0.13410073446643192	0.12250417620506826
JF819615	0.3043478260869566	0.13408908185701532	0.12240885465991916
JN974823	0.3043478260869565	0.10332804978006406	0.12171652976516864
JN974824	0.3043478260869565	0.09512169863428918	0.14951669743457344
JN974828	0.30434782608695654	0.10571881408825957	0.12706235848834108
JN974829	0.30434782608695654	0.09835182419372654	0.12706235848834108
JN974838	0.30434782608695654	0.10256492841156736	0.14337469459413968
JN974842	0.30434782608695654	0.10333598156687841	0.12297397729198935
JN974845	0.30434782608695654	0.10333004838272848	0.12170803379126785
JN974870	0.27272727272727276	0.13350517505642776	0.12423964587406758
JN974871	0.3043478260869565	0.13508411267477136	0.13377447192101022
JN974872	0.30434782608695654	0.13508621784169883	0.12236186471522541
JN974873	0.36363636363636365	0.13512783844975393	0.12358045407712648
JQ970480	0.3043478260869565	0.10332804978006406	0.12171652976516864
KT221107	0.30434782608695654	0.10456627902472533	0.1308660025607231
KT894558	0.30434782608695654	0.1069786675430926	0.12180742235966559
KT894572	0.30434782608695654	0.10777562976265503	0.13487815067154152
KT894573	0.3043478260869566	0.10030272517797341	0.11701118350690036
KT894577	0.3043478260869566	0.11744908542158185	0.11800686673092467
KT894578	0.30434782608695654	0.11744759957663597	0.11807076445929429
KX148264	0.30434782608695654	0.09513678523980419	0.14939213712260216
KY451767	0.3043478260869565	0.10998254903003256	0.12174982030451417
MG201879	0.30434782608695654	0.11225581560653904	0.1270338405747967
MG201880	0.3043478260869565	0.0979268599685076	0.12697325537935086
MG201884	0.30434782608695654	0.10571881408825957	0.11759930068932498
MG201919	0.30434782608695654	0.10571887325468333	0.12714079751221424
MG201921	0.30434782608695654	0.0866573923063241	0.13462393711933823
FJ598135	0.3043478260869565	0.0940017102642004	0.13231498147238566
FJ712195	0.30434782608695654	0.07109647714021826	0.14244227552984418
FJ712196	0.30434782608695654	0.07929016271433018	0.13388138770270247
