"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","clade","Accession"
"DQ666289",-7.98456296522625,-1.18716694927348,-1.37029183277604,-0.421103144260436,2.51517808600746,-2.65269166004821,0.774365019577212,-0.875467619600481,-0.417657659101492,-0.506999839178417,0.576099900073777,0.674970225482407,-0.00150418473625886,-0.906673332139128,-0.548736197596174,0.79527390720702,-0.392611878027385,1.03573340965877,0.364619267923218,-0.0679895374560998,-0.430199803341478,0.137743865933696,0.665921846723125,-0.212291801557542,0.517439009199984,-0.0584274226510213,-0.415448102439329,-0.143998323161414,0.543509792171391,0.528577338530217,-0.432378382193076,-0.138767759939586,-0.135801771985675,0.155600227756295,-0.457936708585018,-0.273016879428339,0.125895417814308,0.679162005395552,-0.0172937378511509,-0.318011837030064,-0.328952833619004,0.207550540056294,0.201766582974931,0.0446615657870683,0.189047543164013,-0.109282015655532,0.113836923028966,0.336363143123179,-0.167928223526511,0.393790010628358,0.202734181029427,0.322046933629279,0.218779436423759,0.200803513767263,0.358721858983772,-0.0589412842261444,0.193177566153399,0.0217295661325665,"Asian SEA2a","DQ666289"
"DQ666290",-7.77331119990732,-1.00942133965251,-1.84926996036306,-0.0997057255840106,1.57625184840726,-2.50949921417588,0.233760524858073,-0.883394432761321,-0.722189560155315,-0.458583478415768,-0.641728722223032,0.429959214350332,0.518802905742236,-0.636709823018491,-0.498705207575559,0.315813893865503,0.106702506026945,0.488204613338302,0.34292443930006,-0.448969181827109,0.0388941386476399,0.338862529931248,0.30625874103341,-0.275632004375812,-0.168387321640616,-0.0183155470499024,-0.450173423650705,0.0276032656020882,0.0493465133971345,0.0690377067440597,-0.382791986484739,0.0858425346580067,-0.0207574893216447,0.306630514356341,-0.0505294276275724,-0.0859401680301812,-0.154827080102683,0.138119982887294,0.276475884727367,0.00180964386103761,-0.119182560250357,0.0215481095777443,-0.0675523450397163,-0.13638089336523,0.241305879813051,0.28130945298646,-0.342549752772118,-0.0972069384913889,0.0581206749087585,0.0185973409090164,-0.0979871992527179,-0.0939280110319474,0.179031498610626,-0.0405911490212641,-0.0832490779753719,-0.00108266503736991,0.0164995907524955,0.0482771935356076,"Asian SEA2a","DQ666290"
"DQ866105",-6.89648412529593,-0.680696107620976,-1.75592155875853,0.754164214763176,2.59080837496584,-2.65704838265256,0.462866574445509,-0.29963357063761,-0.473199038188618,0.760498844729328,-0.73878312872944,0.349187781582979,0.56982391715117,0.192084471767155,-0.0071752383765623,-0.450388476370421,-0.040695379413223,-0.48590541353306,0.384046353184208,-0.864259121359774,-0.858625200367649,-0.243667690046736,0.335639292735141,-0.693776438419037,0.217881838658357,-0.310095404458212,0.355744241826836,0.608668739181323,-0.126783123400315,-0.499140796204865,-0.677291311873927,-0.00182164093333937,-0.683380733838889,-0.122476711935722,0.0820597337706743,-0.159874293752495,-0.023978398158994,-0.214501724321749,-0.228992443761255,0.0170424702289703,0.137591347393344,-0.415291100457383,0.243890678592985,-0.0671130246599698,-0.345613430114982,-0.0982071386366021,0.0452171391832639,-0.147944977630742,-0.0705067005340348,-0.200967320403757,0.13896052151903,0.247206962655408,0.129228815233377,0.0387646101661328,-0.104415039285889,-0.00598089684018962,0.0847515798877278,-0.0407305017922456,"Asian SEA2a","DQ866105"
"DQ866106",-7.67216160642652,-1.15597742157691,-1.66829358449483,-0.915688515069271,2.33369008509198,-2.09213248284472,0.31991522054388,-1.29329085301093,-1.14476241370729,-0.63766081868281,-0.578477536811929,0.82260920374517,-0.179716455244549,-0.41492202644137,-0.0964798691694767,0.153599606093784,0.12292675652579,0.645208864337901,-0.171117538146168,-0.0719279765807458,0.0539962083205106,0.331130395199938,0.0746053595613365,0.104222916978481,0.0661832183233015,-0.291445757289116,0.0718564604740418,0.320198793141075,-0.248012615527438,-0.0446657847140436,-0.0686737148601193,0.0595555040629007,0.0760785532219206,0.114100171125869,0.153873464503785,-0.0284874152433343,-0.251581262282249,0.0627115772635515,-0.133499383703991,-0.145663818369952,0.0302716650141812,-0.132738025444757,0.10739112179321,-0.484130367265667,0.0762115391980576,0.0876471355855461,0.343881131785228,0.00334940267818585,0.054925975990413,-0.0226918409397376,0.00792354648918132,0.0276892841285062,0.06586642176013,-0.0713864303375781,-0.113684833119382,-0.131656952582194,0.00063501540789737,-0.0230860055776149,"Asian SEA2a","DQ866106"
"DQ866108",-7.75116037270795,-1.26602380063845,-1.41685394576861,-0.858291119258052,0.888366104140315,-1.70999902048659,-0.362772439096843,-0.542099802713179,-1.73783642740994,-0.228579069757691,-0.217896410179606,0.761448369133699,0.227666517972564,0.0362211341372312,0.137036456463317,-0.0720837479094216,0.0254245820648819,0.318622061316865,-0.637857819295891,0.344015253166346,0.536558845705823,0.706622601155789,0.284578585486002,0.00564816911334206,0.177335985874373,0.372786237128452,0.0299596085376083,0.184315174428709,0.112771793185697,-0.095014097834669,-0.1794804586306,-0.0799747838544795,-0.299878912548212,0.177645480053981,-0.227419874152537,0.0981059410824102,0.327351363214734,0.0782018780786135,-0.151828031081813,0.184217425499659,-0.301798947839946,0.171797123596909,0.250648501522555,-0.151895398336034,-0.0587986152518103,0.042520393776025,0.0127366970564204,0.205033475904886,-0.0615499055963023,-0.155868863563526,-0.0542603822940086,-0.0079355629930779,-0.124667075372249,-0.140665373167171,0.0357547528017084,-0.0140703081637799,-0.0284668145989339,0.0480163906049282,"Asian SEA2a","DQ866108"
"DQ866109",-8.00303842823723,-1.2984270157796,-1.70353363919402,-0.834682312575452,1.47709843637075,-1.95503874798847,0.130568912132827,-0.976827846900112,-1.37420840176725,-0.387612080581637,-0.263844019920746,0.613749997414393,0.0691373139110399,-0.309007776242059,-0.0697646802073332,-0.0173304410661531,-0.025771110902262,0.494642323668913,-0.446860123363106,0.0850465424071759,0.200294780696549,0.461794121179066,0.259373630589113,-0.00446869419991739,-0.111926324368464,0.0926898408235566,-0.29774365790432,-0.0170087988718512,-0.059693945960092,0.130767811941579,-0.112599095622922,-0.188075152435845,-0.0941211025194242,0.185997215313601,0.109999290241422,0.064981737527261,0.355334148047452,0.000838964557689101,-0.219385007665335,-0.0419846874708193,0.0547854572764657,-0.18210021692023,-0.143399394694873,-0.135949035374392,0.100095701308103,0.0551163240316639,-0.0233192333268324,0.0108522700243266,0.116383540245404,-0.0274836029262804,-0.0593302592570873,0.0667585711647949,-0.113903236382177,-0.0554321068329253,0.0559936529649692,0.00981189751012564,-0.0563774339135266,-0.0639933814705603,"Asian SEA2a","DQ866109"
"DQ866110",-6.83364024638445,-1.42927393956637,-2.05968179354588,0.254150691100374,0.0546746920558886,-1.14689172532257,-0.34349579516117,0.622696769575179,-1.48856607192084,0.126568878931208,0.320803240846712,-1.11524046780251,0.408942872716775,0.57317000171809,0.560130547456617,0.215265061275035,-0.0660374460928329,-0.485149184279029,0.490853582270872,0.80681869399416,0.144386545101724,0.108587684341502,-0.737141800449787,-0.328036709963061,-0.179056465198784,0.180734924472753,-0.361580560511992,0.208238373054988,-0.444978487793538,0.270143424282031,0.129609274609421,-0.462090794073753,-0.194189828291693,0.190681161478781,0.0698180692608373,-0.170123631996778,-0.0201589136957075,0.204451173652955,-0.30638208545089,-0.0990536067733288,-0.280027838526611,0.0475922511082864,0.0627730849172358,0.382004794403414,-0.121573310176164,-0.243417545655301,0.128752719243252,0.101434816363446,-0.151732045385631,0.192449057296625,0.10956338967185,0.0169212761378208,-0.266816768870877,-0.0582250690032923,-0.0337593558114187,-0.131856084690883,-0.0430540312965235,0.0587564243481952,"Asian SEA2a","DQ866110"
"DQ866112",-8.00379434709603,-1.34728589515918,-1.75623879666993,-0.453886125112622,1.97956538626383,-1.81837261005296,0.310612187628346,-1.21206426287632,-1.01891651314531,-0.58357481971493,-0.752797724079943,0.90868697923161,-0.512244138299281,-0.327069417171879,0.0348953116991831,0.377045424872262,0.179454826907892,0.573834390710157,-0.290743588193581,-0.154261420471298,-0.00335003404451766,0.152815145624146,0.325966922020867,0.20603396360877,-0.214971486696165,0.566220627173108,-0.45124147324213,-0.28410791181683,-0.123683812954066,0.417165574671974,-0.0654093285509608,0.0797503182657472,0.447335175207168,-0.521536790617132,-0.153287592940889,-0.100218141073855,-0.156334197356956,0.0883468871517093,-0.295424380064339,-0.0203117619343155,-0.158074893702116,0.00600887521161765,0.0133102781772857,0.0282359250307661,-0.0470953880580661,0.109300992904252,-0.051287716129035,-0.100079817258193,0.012497010041775,-0.00797226292357087,-0.0450763306331168,-0.000508396359128211,-0.00360298436789331,0.0289060410406364,-0.0400750104343401,-0.00112871391612822,0.0258974199449098,0.0233290938118687,"Asian SEA2a","DQ866112"
"DQ866116",-6.55313260531055,-1.16908789830787,-2.10708623492644,0.152902719266434,-0.209990503823264,-0.65656274049013,0.49034287420629,0.0374920181429571,-2.35136834072093,0.901145109321934,-0.673169076388293,-0.364923547376616,0.454724851883646,0.680726954702187,0.410934515780424,-0.714310091318865,-0.0939461394252389,-0.161147253808846,0.909892702233949,0.195190022878368,0.447802692464406,0.313156305969864,0.283398978953074,-0.181138020051215,-0.0761620045970325,0.301889657667393,0.411590450556626,-0.129164956191232,-0.331797666238718,-0.252565696249556,-0.234080613383214,0.0960146075777278,-0.140706723840507,0.302205706791758,0.188964855681277,0.0204255254879072,0.0416731243047978,-0.449168888290714,-0.162782080826461,-0.0597503377533912,0.0406881794034405,0.110334985980984,0.0600124798895349,0.104013433031346,-0.0928327929135126,-0.064668675477371,0.0980344107012516,-0.0534671138106316,-0.0114799739234784,0.134671487420827,0.0486006817467061,0.0445372113166455,-0.00385135421343933,-0.0033554973804656,-0.0353059879756428,0.0188915683842505,-0.0346562749470875,0.0132958536952769,"Asian SEA2a","DQ866116"
"DQ866119",-7.60715777231357,-1.49838293661977,-1.94024290652667,-0.86830606028794,1.80294910006814,-2.23416124790701,0.43017776489679,-1.08144658208461,-0.998999250449267,-0.486951698288155,-0.296939164477136,0.537703707641913,0.0520834937115451,-0.452473927360959,-0.652563113669777,0.110172320374663,0.119111722747169,0.553126959108959,-0.218530867741925,-0.14784054557039,0.197010176430574,0.0805452188364661,0.284727092542312,0.063924012147968,-0.240531233331069,-0.0144066995581217,-0.643348235006574,0.181908550482834,-0.0406228226129684,0.085958898266808,-0.0316828619725068,-0.325304179819393,-0.0747594509495475,0.163117069261544,0.00922387744865687,0.161927331554353,0.048476623706872,0.295223317769927,0.0430145637364955,0.164733702858443,-0.268070796332137,-0.3808598833821,0.056064693333962,0.0531240785351361,-0.26941816263933,-0.223412723600173,-0.186754340776946,-0.0746645548602303,-0.0871714131316769,-0.0111993613963815,0.0755188408266704,-0.0969105524805531,-0.095283488958125,-0.0201587356952479,0.0141726866968536,0.0219449258105277,-0.0134726144076581,0.0088818645543563,"Asian SEA2a","DQ866119"
