"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","clade","Accession"
"AY352488",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","AY352488"
"AY352501",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","AY352501"
"JN258588",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","JN258588"
"JN258592",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","JN258592"
"JX987747",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","JX987747"
"KU198460",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KU198460"
"KU198462",-2.98165373081417,2.57587759849525,3.45822463143587,-0.71503962294072,0.884320669096583,-1.02518865869205,1.93042632792527,0.669001711986106,0.81184577470897,0.386139365883763,0.246855229693935,0.339762540610221,0.143922266309506,-0.628282359533678,0.476909019957152,0.380728613331698,-0.392457817306428,-0.0860125229338862,"Arctic A","KU198462"
"KU198464",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KU198464"
"KU198466",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KU198466"
"KU198467",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KU198467"
"KU198472",-0.75132870231103,2.55208051129626,1.94508302928325,-0.712156997873102,0.327042484400081,-0.291379126007496,0.13662021173772,-0.0492774108357162,-0.515799932148055,0.831279391291388,-0.143575851009572,0.249814649893031,-0.125903926892452,0.283118001012697,-0.17181837399013,-0.262055294950666,0.617423813245008,-0.0575572775505514,"Arctic A","KU198472"
"KU198476",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KU198476"
"KU198477",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KU198477"
"KU198478",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KU198478"
"KX036361",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KX036361"
"KX036362",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KX036362"
"KX036364",-0.32331265314056,1.94646328909202,1.87528735465112,-0.867498773927708,0.120973176130181,-0.657531788508065,-0.215582988655523,-0.428753215540782,-0.658598032652396,0.343357479771678,0.282617606517664,0.248312583179292,0.410322603079197,-0.175543691482018,0.0875914044593957,-0.111782126615396,-0.473135461630194,0.0577580517053385,"Arctic A","KX036364"
"KX036365",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KX036365"
"KX036366",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KX036366"
"KX954123",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","KX954123"
"LT598537",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","LT598537"
"LT598538",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","LT598538"
"LT598539",-0.739514409316351,2.44421386901442,1.42088731910191,-0.987193983287201,0.333494632249774,-0.181566623515171,0.240852074378781,0.096375849798614,-0.549198458492559,0.594360492874814,-0.0874823893089543,0.364305280146018,0.480610356113895,0.108351805809837,-0.0935162332923697,-0.264993480597235,0.0481530961506355,0.0345736459894425,"Arctic A","LT598539"
"LT598540",-0.861409376481307,1.99062026895936,1.91494938193044,-0.788698609193136,0.316368878466765,-0.474478944572445,0.368816926217253,-0.148848685692677,-0.372024992238844,0.110817227657374,-0.0466112916418459,-0.0899069224874483,0.00957580287550867,-0.0729487705054395,0.0140004557060141,-0.0535961995760349,0.0328090926571627,0.0180661547737005,"Arctic A","LT598540"
