acc	CpGpos1	CpGpos2	CpGbridge	TpApos1	TpApos2	TpAbridge
DQ666289	0.3043478260869566	0.1044972095368306	0.1257855651346	1.0	0.3085436388016091	0.10163150409335191
DQ666290	0.30434782608695654	0.10183987103027929	0.1271112592863164	1.0	0.31863739470186764	0.10339575472588769
DQ866105	0.30434782608695654	0.10287464603523988	0.13542624024873728	1.0	0.3050513338803611	0.09644961391833247
DQ866106	0.3043478260869565	0.10526315789473684	0.12317411047799501	1.0	0.3186516853932584	0.0965685488813233
DQ866108	0.30434782608695654	0.10571703194622328	0.12582283258958477	1.0	0.31439158757847224	0.10311679314859075
DQ866109	0.3043478260869566	0.10571854033829103	0.12567445931406462	1.0	0.3155012553624736	0.10317835592976905
DQ866110	0.30434782608695654	0.0951301366177658	0.13947056741275174	1.0	0.3050350643763943	0.11459983971078277
DQ866112	0.30434782608695654	0.10572243474014013	0.11739652807584054	1.0	0.33217125504455186	0.10321007376250396
DQ866116	0.3043478260869566	0.09512883252746074	0.13584153945000726	1.0	0.3050243663254381	0.1067864132586598
DQ866119	0.3043478260869566	0.10571952193803237	0.1332276574483571	1.0	0.3186189248085728	0.10352225843761824
EU086182	0.30434782608695654	0.09513472106076773	0.1399505016076644	1.0	0.3186445419035155	0.1046063095132739
EU086183	0.3043478260869566	0.09402457316759019	0.1369071153079244	1.0	0.3321785143769968	0.10400570693101141
EU159386	0.30434782608695654	0.09513472106076773	0.1399505016076644	1.0	0.3186445419035155	0.1046063095132739
EU828653	0.30434782608695654	0.10257756347318897	0.14303707311887942	1.0	0.3051260537776179	0.11166458556871121
FJ561726	0.3043478260869566	0.10139014659460589	0.14242572957691962	1.0	0.3062355152829307	0.11044312067297578
FJ561727	0.27272727272727265	0.1092325462631877	0.14312695293644764	1.0	0.3040785182082049	0.10669671756213736
FJ561728	0.3043478260869566	0.10257075560091448	0.15707362807172257	1.0	0.2822209262573652	0.11358852368350508
FJ866829	0.30434782608695654	0.10922236654441311	0.15654053448535837	1.0	0.2874381219440592	0.1117820517100798
FJ866830	0.27272727272727276	0.10795625369382386	0.1564217128367806	1.0	0.30109029064293735	0.10627409778044535
FJ866831	0.30434782608695654	0.10138995940535792	0.14360422343606755	1.0	0.2960627101446392	0.10964395681789203
GQ472468	0.2916666666666667	0.10572075511296308	0.12491601429650387	1.0	0.3186558516801854	0.10268897723426157
GQ472470	0.30434782608695654	0.10108398408477544	0.12720870635324563	1.0	0.3230559069061473	0.09871014626700206
GQ472473	0.3043478260869565	0.09835044507701078	0.12697325537935086	1.0	0.31865882517398736	0.10314947818474743
GQ472477	0.3181818181818181	0.10571757967009335	0.12703251777212138	1.0	0.3256349897135622	0.10344616215315307
GU358653	0.30434782608695654	0.09513678523980419	0.1450104568509511	1.0	0.31868142838602764	0.104653500956254
HM486355	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486356	0.30434782608695654	0.13604411244490958	0.12225564470684143	1.0	0.3084562142642191	0.09851208795879361
HM486357	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486358	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486359	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486361	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486362	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486364	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486365	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486366	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486367	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486368	0.30434782608695654	0.10571948586167657	0.12240030469083679	1.0	0.3186076037948995	0.10311657150546713
HM486369	0.3043478260869565	0.13567301457093336	0.12207063911629708	1.0	0.30847811049513285	0.09982596627799743
HM486370	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486371	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486372	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486373	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
HM486374	0.30434782608695654	0.13505027442223705	0.12232561375701453	1.0	0.31271093400561134	0.09853552025691512
HM486375	0.30434782608695654	0.13505027442223705	0.12232561375701453	1.0	0.31271093400561134	0.09853552025691512
HM486379	0.30434782608695654	0.13506696938936238	0.12234809248209275	1.0	0.3084562142642191	0.09826655653981403
HM486380	0.30434782608695654	0.13506696938936238	0.12234809248209275	1.0	0.3084562142642191	0.09826655653981403
HM486381	0.2916666666666667	0.10181433177603552	0.1393129193721823	1.0	0.30404623123602675	0.11227759414379794
JF819605	0.30434782608695654	0.13410073446643192	0.12250417620506826	1.0	0.3156823211212195	0.09541219837080901
JF819615	0.3043478260869565	0.13408908185701532	0.12240885465991916	1.0	0.31170291433260067	0.0984251752543256
JF819622	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
JN974823	0.3043478260869565	0.10332804978006405	0.12171652976516864	1.0	0.294974617764561	0.09747091210636141
JN974824	0.3043478260869565	0.09512169863428918	0.14951669743457344	1.0	0.30506016383768264	0.11166720859512287
JN974828	0.30434782608695654	0.10571881408825957	0.12706235848834108	1.0	0.31866299159126765	0.09843574576748804
JN974829	0.30434782608695654	0.09835182419372654	0.12706235848834108	1.0	0.3290490742405177	0.09843574576748804
JN974838	0.30434782608695654	0.10256492841156735	0.14337469459413968	1.0	0.30726594779804495	0.11267242557367019
JN974842	0.3043478260869566	0.10333598156687841	0.12297397729198933	1.0	0.28498424921246057	0.09222675173665144
JN974845	0.30434782608695654	0.10333004838272848	0.12170803379126782	1.0	0.284947797275248	0.09746745228553172
JN974854	0.30434782608695654	0.1350695962314816	0.12233933083285174	1.0	0.308466043563721	0.09851513084107463
JN974870	0.27272727272727276	0.13350517505642776	0.1242396458740676	1.0	0.30848568679336064	0.09833522066478412
JN974871	0.3043478260869565	0.13508411267477133	0.13377447192101022	1.0	0.30851958663782747	0.10079413777810146
JN974872	0.30434782608695654	0.13508621784169883	0.12236186471522541	1.0	0.3084539681584254	0.10697521329140594
JN974873	0.36363636363636365	0.13512783844975393	0.12358045407712648	1.0	0.31556010006750584	0.0987825041291211
JQ970480	0.3043478260869565	0.10332804978006405	0.12171652976516864	1.0	0.27138465851631577	0.09747091210636141
KT221107	0.30434782608695654	0.10456627902472533	0.1308660025607231	1.0	0.2920556579651543	0.08542404810473983
KT894558	0.3043478260869565	0.1069786675430926	0.12180742235966559	1.0	0.2751346362539174	0.10918116799815776
KT894572	0.30434782608695654	0.10777562976265503	0.13487815067154155	1.0	0.2849637227920941	0.11358251635987078
KT894573	0.3043478260869566	0.10030272517797342	0.11701118350690036	1.0	0.2749076567333006	0.09065996923579027
KT894577	0.3043478260869566	0.11744908542158185	0.11800686673092467	1.0	0.31553417241311177	0.09429045051774698
KT894578	0.30434782608695654	0.11744759957663597	0.1180707644592943	1.0	0.31555037626656657	0.0943079727735269
KX148264	0.30434782608695654	0.09513678523980419	0.14939213712260216	1.0	0.31868142838602764	0.104653500956254
KY451767	0.3043478260869565	0.10998254903003256	0.12174982030451417	1.0	0.2949815298675556	0.09704702006242927
MG201879	0.30434782608695654	0.11225581560653904	0.12703384057479666	1.0	0.3186742957570674	0.0984664464083369
MG201880	0.3043478260869565	0.0979268599685076	0.12697325537935086	1.0	0.3154929020522757	0.10103920725013427
MG201884	0.30434782608695654	0.10571881408825957	0.11759930068932498	1.0	0.31866299159126765	0.09843574576748804
MG201919	0.30434782608695654	0.10571887325468335	0.12714079751221424	1.0	0.31867429575706735	0.09846232987584498
MG201921	0.30434782608695654	0.0866573923063241	0.13462393711933823	1.0	0.3064831038798498	0.10043877222728634
FJ598135	0.30434782608695654	0.09400171026420041	0.13231498147238566	1.0	0.2862194053271923	0.11619913656013584
FJ712195	0.30434782608695654	0.07109647714021824	0.14244227552984418	1.0	0.2690749941339102	0.10455504874301752
FJ712196	0.30434782608695654	0.07929016271433018	0.13388138770270247	1.0	0.26977264481799496	0.10698434409191195
GU647092	0.30434782608695654	0.09468476692095797	0.1316149087537935	1.0	0.2935334407735697	0.10084774603202379
KF726852	0.3043478260869565	0.0860218251086504	0.13697722375700522	1.0	0.286530388200494	0.10241635523508642
KP319184	0.3043478260869565	0.0860218251086504	0.13697722375700522	1.0	0.286530388200494	0.10241635523508642
KP319185	0.30434782608695654	0.09468610607484716	0.13177989398101206	1.0	0.2834690857102584	0.10089506632885926
KP319186	0.30434782608695654	0.09359333111248495	0.13642362043832143	1.0	0.27265054309054193	0.10603590286284224
KP319187	0.3043478260869566	0.0872948351323975	0.13177009546158738	1.0	0.2764734937451489	0.1044673496535796
KP319188	0.3043478260869565	0.09359492183222633	0.13649549193416685	1.0	0.2726606131222628	0.10127105576935573
KP319189	0.3043478260869566	0.0872948351323975	0.13177009546158738	1.0	0.2764734937451489	0.1044673496535796
KP319190	0.3043478260869565	0.09468324812115457	0.13153934647656726	1.0	0.29350301271587775	0.10082694364206965
KP319191	0.30434782608695654	0.09468636335342093	0.13159967314820356	1.0	0.2935501737072655	0.10084168957895337
KP319192	0.30434782608695654	0.09468476692095797	0.1316149087537935	1.0	0.2935334407735697	0.10084774603202379
KP319193	0.3043478260869565	0.08664943720783587	0.1311378693469035	1.0	0.2834362502644277	0.1102175173488095
KP319194	0.3043478260869566	0.08665383824711122	0.13558693481824613	1.0	0.2848338719198023	0.10288033244112564
KP319195	0.3043478260869565	0.08665436121055957	0.13691740518863835	1.0	0.2825969178906815	0.10240405406683491
KP319196	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319197	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319198	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319199	0.2916666666666667	0.09360080258911739	0.12987153768015136	1.0	0.2726303829795792	0.11075739470948012
KP319200	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319201	0.2916666666666667	0.09359909662832061	0.12057498428148906	1.0	0.27262029288702927	0.11073639212909187
KP319202	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319203	0.30434782608695654	0.08565463628762501	0.12761548430883843	1.0	0.28365447502138147	0.1041469963781355
KP319204	0.30434782608695654	0.0856490577711614	0.13134320255935172	1.0	0.2826396549994985	0.1014299385811328
KP319205	0.3043478260869566	0.09722970100357956	0.13192332204071072	1.0	0.28257291394849354	0.10090004784315343
KP319206	0.3043478260869566	0.08728379825909996	0.12227109219762897	1.0	0.2596003510293836	0.10082030439645882
KP319207	0.3043478260869566	0.09468560347439134	0.12228518262183326	1.0	0.2595750262329486	0.10082525013324281
KP319208	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319209	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319210	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319211	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
KP319212	0.30434782608695654	0.0856490577711614	0.13134320255935172	1.0	0.2826396549994985	0.1014299385811328
KP319213	0.30434782608695654	0.08665059888893636	0.13659626034969166	1.0	0.28259342511941554	0.10235043189578574
AB519642	0.25	0.08438539189252776	0.11602199347053067	1.0	0.2583253306898795	0.1095586773290999
AF070449	0.25	0.10453544188638929	0.09758639183061725	1.0	0.2581603295179351	0.1017061877422253
AF351847	0.26086956521739124	0.10157337720405786	0.13533793947378672	1.0	0.27688955718538066	0.10675535915647177
AF351852	0.25	0.11013475425403114	0.09920484422431604	1.0	0.26849782743637496	0.11095699924515966
AY854587	0.19999999999999998	0.09684085376446568	0.1341640449434019	1.0	0.2506704772555476	0.10419489250197596
AY854592	0.21739130434782608	0.1120458013430941	0.0876725015146091	1.0	0.24424077285112705	0.10829692292657886
AY854594	0.21739130434782603	0.1006467495705183	0.09213937623355738	1.0	0.24426811399797757	0.10333673390638558
AY877433	0.24	0.11260875045892667	0.10989089816892351	1.0	0.23459317800253882	0.07437422988025633
AY877434	0.25	0.10301318883732387	0.09939298266898773	1.0	0.27881467097720447	0.09980832909984581
AY877435	0.25	0.09192667210496104	0.09699930646710983	1.0	0.2685520034717199	0.10949088622254101
GU592648	0.25	0.07290954980737181	0.10758126696191682	1.0	0.25837379894617213	0.10888388474697257
KF656696	0.21739130434782608	0.07942885467796501	0.08772049139281683	1.0	0.24431349075297223	0.10482059621644016
KF656697	0.21739130434782608	0.07942885467796501	0.08772049139281683	1.0	0.24431349075297223	0.10482059621644016
KF864234	0.25	0.11155321344523933	0.09756318877658023	1.0	0.23749909469959546	0.10194482904669734
KF864322	0.29166666666666674	0.11157823248631177	0.10203988411652418	1.0	0.24782707669384543	0.10645690809211569
KF864397	0.2608695652173913	0.11235417194375862	0.08116124989334067	1.0	0.2509241672283153	0.10704300446028697
KM594040	0.25	0.1133222451252064	0.11941076535300321	1.0	0.2684956429154736	0.10519225484292678
KM594041	0.29166666666666674	0.07011656307744141	0.08077046363549081	1.0	0.22761967974778063	0.0880391626202507
KM594042	0.25	0.11333342250928007	0.11223211429953496	1.0	0.26849346195955304	0.096103182609869
KP202393	0.26086956521739124	0.09194066712852464	0.09678940473558037	1.0	0.2838838960408064	0.11334919772023967
KT023101	0.30434782608695654	0.07011276171475454	0.09720928889330346	1.0	0.2169603752828113	0.11666615856120967
KU523255	0.30434782608695654	0.07011276171475454	0.09720928889330346	1.0	0.2169603752828113	0.11666615856120967
MN968374	0.2173913043478261	0.09366037189631692	0.110649034183912	1.0	0.27889369592089003	0.1064956714540378
MN968375	0.21739130434782608	0.09366506947996223	0.11066985099567742	1.0	0.2789064511146579	0.10656907603350466
MN968376	0.21739130434782608	0.09366506947996223	0.11066985099567742	1.0	0.2789064511146579	0.10656907603350466
MN968377	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968378	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968379	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968380	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968381	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968382	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968383	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968384	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968385	0.21739130434782605	0.09363090038836079	0.11059998320041062	1.0	0.2788884425630092	0.10655230593178336
MN968386	0.21739130434782605	0.0936355568347897	0.11062079009117963	1.0	0.27890119846793787	0.10444194681255894
MN968387	0.21739130434782608	0.09366506947996223	0.11066985099567742	1.0	0.2789064511146579	0.10656907603350466
MT891038	0.26086956521739124	0.10692312753875187	0.09974294366080488	1.0	0.2582309099742606	0.12669194253147445
MW249020	0.25	0.10301244224698773	0.1041947735065734	1.0	0.28251940224570676	0.10440843980229526
MW249021	0.26086956521739124	0.10692312753875187	0.09974294366080488	1.0	0.2582309099742606	0.12669194253147445
AB284509	0.2727272727272727	0.09547645069807002	0.15828763265252274	1.0	0.2781247497798062	0.07352916161557119
AB284510	0.2727272727272727	0.09547645069807002	0.15828763265252274	1.0	0.2781247497798062	0.07352916161557119
AB284511	0.2727272727272727	0.0954773677232193	0.15034539539590278	1.0	0.2781496712994927	0.07314569234660263
AB284512	0.2727272727272727	0.10289898678260591	0.15810501880383576	1.0	0.2780488293577246	0.07346923960851574
AB284513	0.22727272727272727	0.09546348999473347	0.15817745968026037	1.0	0.2781502011085986	0.08508319107322086
AB284514	0.2727272727272727	0.10289898678260591	0.15810501880383576	1.0	0.2780488293577246	0.07346923960851574
AB285215	0.2727272727272727	0.09547645069807002	0.15828763265252274	1.0	0.2781247497798062	0.07352916161557119
EU853582	0.26086956521739124	0.0852148375170466	0.14156848177049766	1.0	0.2780987473841255	0.07941483260697428
EU853584	0.27272727272727276	0.09303015107870452	0.17879989823338666	1.0	0.2884006591102012	0.0804266768141765
EU853585	0.27272727272727276	0.09303015107870452	0.17879989823338666	1.0	0.2884006591102012	0.0804266768141765
EU853586	0.2727272727272727	0.0809813202482393	0.17880035913113343	1.0	0.2884227551366786	0.08041543757829765
EU853587	0.27272727272727265	0.09264856635931686	0.15950406985236798	1.0	0.28825071019885573	0.08218906312138041
EU853588	0.27272727272727265	0.09264856635931686	0.15950406985236798	1.0	0.28825071019885573	0.08218906312138041
EU853589	0.27272727272727265	0.09264856635931686	0.15950406985236798	1.0	0.28825071019885573	0.08218906312138041
EU853590	0.2857142857142857	0.09264617766711628	0.1595066049748486	1.0	0.2882728827288273	0.08429817083457065
HM179504	0.2727272727272727	0.10350064891131121	0.15088559879840566	1.0	0.29141342364407885	0.08670144381997
HM179505	0.27272727272727276	0.10342556331648368	0.16645224629486702	1.0	0.2774563025711388	0.08028139121183749
HM179506	0.23809523809523808	0.09533941873218986	0.14694035904370698	1.0	0.2709783507858685	0.0811432879248417
KF155002	0.2857142857142857	0.08520579337594093	0.16340093818074547	1.0	0.2577896031928621	0.08870249044331349
KR534217	0.2272727272727272	0.07814289518947488	0.17279814717584582	1.0	0.2780702192478649	0.08284103534708355
KR534218	0.2272727272727273	0.07817013735098266	0.1655572841571628	1.0	0.2883883533935973	0.08285522519810691
KR534219	0.2727272727272727	0.09839416691819104	0.15044566649809774	1.0	0.28512347515620345	0.09128567971229418
KR534220	0.2272727272727273	0.07817013735098266	0.1655572841571628	1.0	0.2883883533935973	0.08285522519810691
KR534228	0.27272727272727265	0.1058954284553266	0.1504600783244476	1.0	0.28507065735154014	0.09624384834731564
KR534229	0.2727272727272727	0.077765788833175	0.1727895919567723	1.0	0.27801986927059386	0.08730410811273855
KR534230	0.2727272727272727	0.11257592811492124	0.160194690032097	1.0	0.2891225110702774	0.09145122344828688
KR534231	0.27272727272727265	0.1058954284553266	0.1504600783244476	1.0	0.28507065735154014	0.09624384834731564
KR534233	0.2727272727272727	0.0778138365624412	0.16555532026625727	1.0	0.28836623771081443	0.08236466628517708
KR534238	0.2727272727272727	0.10590080308775207	0.14604604383838402	1.0	0.2850378223837036	0.09621365099346882
KR534244	0.2727272727272727	0.07778799691993012	0.1750118029674033	1.0	0.2883662377108145	0.08234888224907522
KR534247	0.2727272727272727	0.07778799691993012	0.1750118029674033	1.0	0.2883662377108145	0.08234888224907522
KR534249	0.2727272727272727	0.07778799691993012	0.1750118029674033	1.0	0.2883662377108145	0.08234888224907522
KR534250	0.2727272727272727	0.07778113694625816	0.1766698026132154	1.0	0.28843004912336756	0.08240447157204177
KR534251	0.2727272727272727	0.10591943901148508	0.15044305737079622	1.0	0.28510347016924265	0.09129498606991351
KR534252	0.22727272727272727	0.11808573651884471	0.15501134622644325	1.0	0.295188479290058	0.08758871172191715
KR534253	0.2727272727272727	0.07036086816783868	0.16555956139149972	1.0	0.2883564312906545	0.08231029866578335
KR906734	0.2727272727272727	0.09839416691819104	0.15044566649809774	1.0	0.28512347515620345	0.09128567971229418
KR906735	0.2727272727272727	0.09306413851608247	0.16488281530245286	1.0	0.28823582385255003	0.08784233785584211
KR906736	0.2727272727272727	0.09306182539407785	0.1648849549554055	1.0	0.2882580077226257	0.08783179319393235
KR906739	0.2727272727272727	0.0937429683609303	0.16943173898066974	1.0	0.285274372735014	0.08254608209976654
KR906741	0.2727272727272727	0.07777333308383842	0.16538105724771368	1.0	0.3017933766090879	0.0918436242037035
KR906742	0.27272727272727265	0.08518804027063617	0.16340409982124918	1.0	0.2577672380151893	0.08728542792254311
KR906743	0.27272727272727265	0.1058954284553266	0.1504600783244476	1.0	0.28507065735154014	0.09624384834731564
KR906744	0.2727272727272727	0.09374574004051715	0.16002074933962945	1.0	0.2852416798732171	0.08251850290872154
KR906745	0.2727272727272727	0.0703388087441949	0.16555992368532435	1.0	0.2782243551289742	0.08227763654677729
KR906746	0.2727272727272727	0.11205920069379442	0.1446671593561379	1.0	0.295330162140044	0.0876816370548697
KR906747	0.27272727272727265	0.11205950207116024	0.1491509930410141	1.0	0.2953427235809781	0.08772217638369319
KR906748	0.3181818181818182	0.07735351062355243	0.15955099254455563	1.0	0.30182305201295323	0.08049838226972265
KR906749	0.2727272727272727	0.0852207361553978	0.1653785433827482	1.0	0.30182076330077084	0.08725706399618108
KR906750	0.27272727272727265	0.08518804027063617	0.16340409982124918	1.0	0.2577672380151893	0.08728542792254311
KR906751	0.28571428571428575	0.1120527407688648	0.1492379003111307	1.0	0.2953966939614193	0.08910182757016916
KR906752	0.3181818181818182	0.07735351062355243	0.15955099254455563	1.0	0.30182305201295323	0.08049838226972265
KR906754	0.27272727272727265	0.08518804027063617	0.16340409982124918	1.0	0.2577672380151893	0.08728542792254311
KR906755	0.2727272727272727	0.07778799691993012	0.1750118029674033	1.0	0.2883662377108145	0.08234888224907522
