acc	CpGpos1	CpGpos2	CpGbridge
DQ666289	0.5252861795956609	0.5313178845968857	0.5281032828356256
DQ666290	0.5251165877047305	0.5199911716815955	0.529384355524492
DQ866105	0.5269226374740691	0.523425362011729	0.5712073882263599
DQ866106	0.5262204315128192	0.5454817928904407	0.5151995770552473
DQ866108	0.5275393345455875	0.5472221021560592	0.5268328020863519
DQ866109	0.5270838723627039	0.54582029456154	0.5290931329722174
DQ866110	0.5304155017834764	0.4884286756388738	0.5946934659412578
DQ866112	0.5292526478610793	0.5432490717712053	0.4923171661486131
DQ866116	0.5298531443812463	0.4869203231383351	0.5780987177007895
DQ866119	0.527512258724212	0.542571648407801	0.5584309848506875
EU086182	0.5272973269462831	0.48826246635228004	0.5861848233949762
EU086183	0.5270838723627039	0.48544484305340874	0.5706909798208196
EU159386	0.5272973269462831	0.48826246635228004	0.5861848233949762
EU828653	0.530837269835149	0.5301408242435104	0.6038709374139868
FJ561726	0.5276338900475673	0.5185452371227403	0.6014388279375522
FJ561727	0.47212003628300747	0.5561807162136109	0.6043483185829001
FJ561728	0.5249364223714701	0.5153787399915718	0.667972856509556
FJ866829	0.5220010837153486	0.5459485373723315	0.6579110048693935
FJ866830	0.4706208425720621	0.5462690099072379	0.6629684545071204
FJ866831	0.524977174905439	0.5152774563546937	0.6021382937462243
GQ472468	0.5056254300787523	0.542858243151951	0.5260504201680675
GQ472470	0.524465645309369	0.5156501299038909	0.5254237288135593
GQ472473	0.5284065284430954	0.509398222984745	0.5309468147282294
GQ472477	0.5503603973058825	0.5438528727568773	0.5312390414962013
GU358653	0.5257702755705341	0.48818767155772125	0.6025807003121578
HM486355	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486356	0.5345608792056301	0.6851809111900432	0.5317115132718933
HM486357	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486358	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486359	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486361	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486362	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486364	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486365	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486366	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486367	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486368	0.5288455873689172	0.5442966975479168	0.5158015536723164
HM486369	0.5326106898273592	0.6807664007026127	0.5282617734239022
HM486370	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486371	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486372	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486373	0.533423013185866	0.6808302436636771	0.5301379546171443
HM486374	0.5337416156713999	0.6791054505646477	0.5298231239345716
HM486375	0.5337416156713999	0.6791054505646477	0.5298231239345716
HM486379	0.532847447389135	0.6787687963649368	0.5301051788296708
HM486380	0.532847447389135	0.6787687963649368	0.5301051788296708
HM486381	0.5035992547425475	0.5124196266528389	0.5938446168352897
JF819605	0.5292049430222091	0.6683564533541488	0.5363409567938713
JF819615	0.5326106898273592	0.6748466928704162	0.5282617734239022
JF819622	0.533423013185866	0.6808302436636771	0.5301379546171443
JN974823	0.5271369777228092	0.5218681665264927	0.5153806078046287
JN974824	0.5293817046914323	0.485631854295787	0.633430094619999
JN974828	0.526531177458794	0.544140205547443	0.5290640107169898
JN974829	0.526531177458794	0.5062219274240194	0.5290640107169898
JN974838	0.5288205229492765	0.5220309994071152	0.6056633968682329
