Clade,Host,Accession,Group
Bat DR,Vampire bat,KM594041,Bat
Bat DR,Vampire bat,KM594042,Bat
Bat DR,Vampire bat,KP202393,Bat
Bat DR,Vampire bat,KT023101,Bat
Bat DR,Vampire bat,KU523255,Bat
Bat DR,Vampire bat,MN968374,Bat
Bat DR,Vampire bat,MN968375,Bat
Bat DR,Vampire bat,MN968376,Bat
Bat DR,Vampire bat,MN968377,Bat
Bat DR,Vampire bat,MN968378,Bat
Bat DR,Vampire bat,MN968379,Bat
Bat DR,Vampire bat,MN968380,Bat
Bat DR,Vampire bat,MN968381,Bat
Bat DR,Vampire bat,MN968382,Bat
Bat DR,Vampire bat,MN968383,Bat
Bat DR,Vampire bat,MN968384,Bat
Bat DR,Vampire bat,MN968385,Bat
Bat DR,Vampire bat,MN968386,Bat
Bat DR,Vampire bat,MN968387,Bat
Bat DR,Vampire bat,MT891038,Bat
Bat DR,Vampire bat,MW249020,Bat
Bat DR,Vampire bat,MW249021,Bat
Cosmo AF1b,Dog,AB284509,Carnivore
Cosmo AF1b,Dog,AB284510,Carnivore
Cosmo AF1b,Dog,AB284511,Carnivore
Cosmo AF1b,Dog,AB284512,Carnivore
Cosmo AF1b,Dog,AB284513,Carnivore
Cosmo AF1b,Dog,AB284514,Carnivore
Cosmo AF1b,Dog,AB285215,Carnivore
Cosmo AF1b,Dog,EU853582,Carnivore
Cosmo AF1b,Dog,EU853584,Carnivore
Cosmo AF1b,Dog,EU853585,Carnivore
Cosmo AF1b,Dog,EU853586,Carnivore
Cosmo AF1b,Dog,EU853587,Carnivore
Cosmo AF1b,Dog,EU853588,Carnivore
Cosmo AF1b,Dog,EU853589,Carnivore
Cosmo AF1b,Dog,EU853590,Carnivore
Cosmo AF1b,Dog,HM179504,Carnivore
Cosmo AF1b,Dog,HM179505,Carnivore
Cosmo AF1b,Dog,HM179506,Carnivore
Cosmo AF1b,Dog,KF155002,Carnivore
Cosmo AF1b,Dog,KR534217,Carnivore
Cosmo AF1b,Dog,KR534218,Carnivore
Cosmo AF1b,Dog,KR534219,Carnivore
Cosmo AF1b,Dog,KR534220,Carnivore
Cosmo AF1b,Dog,KR534228,Carnivore
Cosmo AF1b,Dog,KR534229,Carnivore
Cosmo AF1b,Dog,KR534230,Carnivore
Cosmo AF1b,Dog,KR534231,Carnivore
Cosmo AF1b,Dog,KR534233,Carnivore
Cosmo AF1b,Dog,KR534238,Carnivore
Cosmo AF1b,Dog,KR534244,Carnivore
Cosmo AF1b,Dog,KR534247,Carnivore
Cosmo AF1b,Dog,KR534249,Carnivore
Cosmo AF1b,Dog,KR534250,Carnivore
Cosmo AF1b,Dog,KR534251,Carnivore
Cosmo AF1b,Dog,KR534252,Carnivore
Cosmo AF1b,Dog,KR534253,Carnivore
Cosmo AF1b,Dog,KR906734,Carnivore
Cosmo AF1b,Dog,KR906735,Carnivore
Cosmo AF1b,Dog,KR906736,Carnivore
Cosmo AF1b,Dog,KR906739,Carnivore
Cosmo AF1b,Dog,KR906741,Carnivore
Cosmo AF1b,Dog,KR906742,Carnivore
Cosmo AF1b,Dog,KR906743,Carnivore
Cosmo AF1b,Dog,KR906744,Carnivore
Cosmo AF1b,Dog,KR906745,Carnivore
Cosmo AF1b,Dog,KR906746,Carnivore
