acc	CpGpos1	CpGpos1_low95CI	CpGpos1_high95CI	CpGpos2	CpGpos2_low95CI	CpGpos2_high95CI	CpGbridge	CpGbridge_low95CI	CpGbridge_high95CI
DQ666289	0.3043478260869566	0.38503244208585374	0.7593153840011029	0.1044972095368306	0.1176469739132526	0.27284654224475313	0.125785565	0.1556501840030723	0.3161264413414416
DQ666290	0.30434782608695654	0.3494693707117342	0.7783567162447877	0.10183987103027928	0.11841377834259992	0.27570723756224264	0.1271112592863164	0.16201902349007324	0.32280826960178516
DQ866105	0.30434782608695654	0.36377277482284387	0.7762272251771567	0.1028746460352399	0.12364417474829165	0.2613214998893623	0.13542624024873728	0.14726606378510682	0.3249477393847832
DQ866106	0.3043478260869566	0.3688140950636043	0.771185905	0.10526315789473684	0.12365069865511144	0.25769192150999953	0.12317411047799498	0.162212805	0.3105870017820281
DQ866108	0.30434782608695654	0.3850483736315386	0.8001690176728098	0.10571703194622328	0.11368952075534991	0.27492774693103805	0.12582283258958477	0.1679060179293328	0.32181149261422093
DQ866109	0.3043478260869566	0.3554058716219973	0.7845941283780032	0.10571854033829106	0.1228214757277348	0.27184234629418647	0.12567445931406462	0.16495781512706614	0.31885588224689526
DQ866110	0.30434782608695654	0.3913361914175329	0.7625768520607286	0.095130137	0.12319005310793893	0.2705012342772929	0.13947056741275174	0.16458697142486683	0.30403156776342166
DQ866112	0.30434782608695654	0.36951069248748364	0.7670110466429516	0.10572243474014013	0.120750215	0.2660340100611768	0.11739652807584054	0.17287820944953314	0.3047545936762994
DQ866116	0.3043478260869566	0.3738785254481286	0.7722084310736114	0.095128833	0.11943492963190999	0.2757046363765581	0.13584153945000726	0.15851225312982847	0.30685466864961813
DQ866119	0.3043478260869566	0.3692671490866478	0.7994285030872658	0.10571952193803237	0.12295901164223666	0.27440374162700015	0.1332276574483571	0.15544165474978905	0.3117409303940333
EU086182	0.30434782608695654	0.3834898087737657	0.7765101912262351	0.095134721	0.11990351687902681	0.26188438474218934	0.1399505016076644	0.1566053221379901	0.31877965824638343
EU086183	0.3043478260869566	0.3783434780322623	0.7633956524025209	0.094024573	0.12619960865741975	0.2603717342266186	0.1369071153079244	0.16360241804537745	0.317640025
EU159386	0.30434782608695654	0.38886737056819276	0.7676543685622422	0.095134721	0.11395000758451046	0.2672506194546519	0.1399505016076644	0.1739483997956691	0.2967131668539503
EU828653	0.30434782608695654	0.3533640287382127	0.7683751016965703	0.10257756347318897	0.1188698192836343	0.25966460160842053	0.14303707311887942	0.1549021173150006	0.31170904891808954
FJ561726	0.3043478260869566	0.3893949439736042	0.7549528821133527	0.10139014659460586	0.12426425313517779	0.27022332318995945	0.14242572957691962	0.15824274297764218	0.3083033944724728
FJ561727	0.27272727272727265	0.3752875836430116	0.7919851436297158	0.1092325462631877	0.12609300147000782	0.27376181202028815	0.14312695293644764	0.1661985732534936	0.31612296505820703
